"DistinguishedName","ObjectGuid","ObjectSid","AdminCount","PrimaryGroupID","MemberOf","objectClass","SamAccountName","SDHash","Owner","DaclProtected","SaclProtected","ExactSDMatch","ImplicitSDMatch","ACECount","ImplicitACECount","Created","Modified"
"CN=Certificate Service DCOM Access,CN=Builtin,DC=AD2025,DC=lan","e6ee505c-5050-41e6-a6b9-4d7fbb391ab1","S-1-5-32-574","0","0","","group","Certificate Service DCOM Access","EA-D0-D9-3A-4D-AB-11-A7-19-8F-66-9B-44-58-80-D0-74-24-80-C2-5D-7A-46-3C-CC-3B-C3-48-C5-07-F1-6F","BUILTIN\Administrators","False","False","False","False","33","7","4/14/2025 1:39:56 PM","5/12/2025 11:27:25 AM"
"CN=RDS Remote Access Servers,CN=Builtin,DC=AD2025,DC=lan","194e5b12-4a8c-43cf-9be4-16de93a9cc42","S-1-5-32-575","0","0","","group","RDS Remote Access Servers","EA-D0-D9-3A-4D-AB-11-A7-19-8F-66-9B-44-58-80-D0-74-24-80-C2-5D-7A-46-3C-CC-3B-C3-48-C5-07-F1-6F","BUILTIN\Administrators","False","False","False","False","33","7","4/14/2025 1:39:56 PM","5/12/2025 11:27:33 AM"
"CN=RDS Endpoint Servers,CN=Builtin,DC=AD2025,DC=lan","58487de7-3cdd-4f56-b103-6712a2556543","S-1-5-32-576","0","0","","group","RDS Endpoint Servers","EA-D0-D9-3A-4D-AB-11-A7-19-8F-66-9B-44-58-80-D0-74-24-80-C2-5D-7A-46-3C-CC-3B-C3-48-C5-07-F1-6F","BUILTIN\Administrators","False","False","False","False","33","7","4/14/2025 1:39:56 PM","5/12/2025 11:27:27 AM"
"CN=RDS Management Servers,CN=Builtin,DC=AD2025,DC=lan","a30ae4ae-717a-4aa6-b464-ad62bf1d4968","S-1-5-32-577","0","0","","group","RDS Management Servers","EA-D0-D9-3A-4D-AB-11-A7-19-8F-66-9B-44-58-80-D0-74-24-80-C2-5D-7A-46-3C-CC-3B-C3-48-C5-07-F1-6F","BUILTIN\Administrators","False","False","False","False","33","7","4/14/2025 1:39:56 PM","5/12/2025 11:27:23 AM"
"CN=Hyper-V Administrators,CN=Builtin,DC=AD2025,DC=lan","74141bd4-70f1-4b08-91aa-ec5e61d0b047","S-1-5-32-578","0","0","","group","Hyper-V Administrators","EA-D0-D9-3A-4D-AB-11-A7-19-8F-66-9B-44-58-80-D0-74-24-80-C2-5D-7A-46-3C-CC-3B-C3-48-C5-07-F1-6F","BUILTIN\Administrators","False","False","False","False","33","7","4/14/2025 1:39:56 PM","5/12/2025 11:27:38 AM"
"CN=Access Control Assistance Operators,CN=Builtin,DC=AD2025,DC=lan","08686ec3-af5b-4812-9832-2982748b8cbe","S-1-5-32-579","0","0","","group","Access Control Assistance Operators","EA-D0-D9-3A-4D-AB-11-A7-19-8F-66-9B-44-58-80-D0-74-24-80-C2-5D-7A-46-3C-CC-3B-C3-48-C5-07-F1-6F","BUILTIN\Administrators","False","False","False","False","33","7","4/14/2025 1:39:56 PM","5/12/2025 11:27:28 AM"
"CN=Remote Management Users,CN=Builtin,DC=AD2025,DC=lan","7b666c52-65df-441b-9c27-42ca88119f43","S-1-5-32-580","0","0","","group","Remote Management Users","EA-D0-D9-3A-4D-AB-11-A7-19-8F-66-9B-44-58-80-D0-74-24-80-C2-5D-7A-46-3C-CC-3B-C3-48-C5-07-F1-6F","BUILTIN\Administrators","False","False","False","False","33","7","4/14/2025 1:39:56 PM","5/12/2025 11:27:38 AM"
"CN=Storage Replica Administrators,CN=Builtin,DC=AD2025,DC=lan","7107ed16-91a6-4193-a37f-7414511b8485","S-1-5-32-582","0","0","","group","Storage Replica Administrators","EA-D0-D9-3A-4D-AB-11-A7-19-8F-66-9B-44-58-80-D0-74-24-80-C2-5D-7A-46-3C-CC-3B-C3-48-C5-07-F1-6F","BUILTIN\Administrators","False","False","False","False","33","7","4/14/2025 1:39:56 PM","4/14/2025 1:39:56 PM"
"CN=OpenSSH Users,CN=Builtin,DC=AD2025,DC=lan","470b9f21-051e-4264-b017-cc548f5ce091","S-1-5-32-585","0","0","","group","OpenSSH Users","EA-D0-D9-3A-4D-AB-11-A7-19-8F-66-9B-44-58-80-D0-74-24-80-C2-5D-7A-46-3C-CC-3B-C3-48-C5-07-F1-6F","BUILTIN\Administrators","False","False","False","False","33","7","4/14/2025 1:39:56 PM","4/14/2025 1:39:56 PM"
"CN=Domain Computers,CN=Users,DC=AD2025,DC=lan","5e6e3fa1-580b-4bd3-97c8-abe39f672825","S-1-5-21-1753113456-3794003277-551465778-515","0","0","","group","Domain Computers","BE-80-81-94-D6-7F-91-35-5B-AD-68-49-A4-EA-BE-9A-CB-93-02-DC-17-D0-10-ED-80-7F-93-B1-58-2D-73-3D","AD2025\Domain Admins","False","False","False","False","33","7","4/14/2025 1:40:37 PM","4/14/2025 1:40:37 PM"
"CN=Domain Controllers,CN=Users,DC=AD2025,DC=lan","fd140f9a-1157-46f0-891b-81e5a61368a1","S-1-5-21-1753113456-3794003277-551465778-516","1","0","CN=Denied RODC Password Replication Group,CN=Users,DC=AD2025,DC=lan","group","Domain Controllers","14-3A-27-D1-BD-37-0A-1B-7B-B4-91-56-B0-E9-A2-BE-E7-49-DF-D4-EF-75-01-0D-0E-FE-19-FA-90-60-52-13","AD2025\Domain Admins","True","False","True","True","23","23","4/14/2025 1:40:37 PM","5/12/2025 11:27:26 AM"
"CN=Schema Admins,CN=Users,DC=AD2025,DC=lan","ae7f28a4-5f80-4b54-9a35-f594c4795a82","S-1-5-21-1753113456-3794003277-551465778-518","1","0","CN=Denied RODC Password Replication Group,CN=Users,DC=AD2025,DC=lan","group","Schema Admins","14-3A-27-D1-BD-37-0A-1B-7B-B4-91-56-B0-E9-A2-BE-E7-49-DF-D4-EF-75-01-0D-0E-FE-19-FA-90-60-52-13","AD2025\Domain Admins","True","False","True","True","23","23","4/14/2025 1:40:37 PM","5/12/2025 11:27:41 AM"
"CN=Enterprise Admins,CN=Users,DC=AD2025,DC=lan","318fdf4c-8a07-4ec4-a35c-ca35acce04f8","S-1-5-21-1753113456-3794003277-551465778-519","1","0","CN=Denied RODC Password Replication Group,CN=Users,DC=AD2025,DC=lan;CN=Administrators,CN=Builtin,DC=AD2025,DC=lan","group","Enterprise Admins","14-3A-27-D1-BD-37-0A-1B-7B-B4-91-56-B0-E9-A2-BE-E7-49-DF-D4-EF-75-01-0D-0E-FE-19-FA-90-60-52-13","AD2025\Domain Admins","True","False","True","True","23","23","4/14/2025 1:40:37 PM","5/15/2025 9:34:41 AM"
